,date,region_code,region,recovered,active_cases,deceased,cases
31,2020-11-07,4,Menorca,484.0,107.0,14.0,604.0
31,2020-11-07,3,Mallorca,12763.0,3097.0,347.0,16167.0
32,2020-11-08,3,Mallorca,13181.0,3273.0,349.0,16763.0
32,2020-11-08,0,total-balears,16255.0,3962.0,381.0,20535.0
32,2020-11-08,2,Formentera,137.0,12.0,1.0,150.0
32,2020-11-08,4,Menorca,500.0,104.0,14.0,617.0
32,2020-11-08,1,Eivissa,2437.0,573.0,17.0,3005.0
33,2020-11-09,3,Mallorca,13315.0,3288.0,351.0,16914.0
33,2020-11-09,1,Eivissa,2466.0,569.0,17.0,3030.0
33,2020-11-09,4,Menorca,505.0,110.0,14.0,628.0
33,2020-11-09,2,Formentera,137.0,13.0,1.0,151.0
33,2020-11-09,0,total-balears,16423.0,3980.0,383.0,20723.0
34,2020-11-10,1,Eivissa,2497.0,584.0,17.0,3076.0
34,2020-11-10,0,total-balears,16594.0,4052.0,383.0,20966.0
34,2020-11-10,2,Formentera,137.0,14.0,1.0,152.0
34,2020-11-10,3,Mallorca,13452.0,3343.0,351.0,17106.0
34,2020-11-10,4,Menorca,508.0,111.0,14.0,632.0
35,2020-11-11,4,Menorca,509.0,124.0,14.0,646.0
35,2020-11-11,1,Eivissa,2515.0,598.0,19.0,3110.0
35,2020-11-11,3,Mallorca,13554.0,3411.0,352.0,17277.0
35,2020-11-11,0,total-balears,16715.0,4147.0,386.0,21185.0
35,2020-11-11,2,Formentera,137.0,14.0,1.0,152.0
36,2020-11-12,3,Mallorca,13685.0,3427.0,353.0,17425.0
36,2020-11-12,4,Menorca,517.0,125.0,14.0,655.0
36,2020-11-12,2,Formentera,137.0,16.0,1.0,154.0
36,2020-11-12,1,Eivissa,2571.0,562.0,24.0,3135.0
36,2020-11-12,0,total-balears,16910.0,4130.0,392.0,21369.0
37,2020-11-13,4,Menorca,517.0,125.0,14.0,655.0
37,2020-11-13,3,Mallorca,13685.0,3427.0,353.0,17425.0
37,2020-11-13,2,Formentera,137.0,16.0,1.0,154.0
37,2020-11-13,1,Eivissa,2571.0,562.0,24.0,3135.0
37,2020-11-13,0,total-balears,16910.0,4130.0,392.0,21369.0
38,2020-11-14,0,total-balears,16910.0,4130.0,392.0,21369.0
38,2020-11-14,4,Menorca,517.0,125.0,14.0,655.0
38,2020-11-14,3,Mallorca,13685.0,3427.0,353.0,17425.0
38,2020-11-14,1,Eivissa,2571.0,562.0,24.0,3135.0
38,2020-11-14,2,Formentera,137.0,16.0,1.0,154.0
39,2020-11-15,4,Menorca,527.0,137.0,14.0,678.0
39,2020-11-15,0,total-balears,17464.0,4108.0,394.0,21904.0
39,2020-11-15,1,Eivissa,2665.0,528.0,25.0,3196.0
39,2020-11-15,3,Mallorca,14134.0,3428.0,354.0,17876.0
39,2020-11-15,2,Formentera,138.0,15.0,1.0,154.0
40,2020-11-16,0,total-balears,17751.0,4033.0,400.0,22123.0
40,2020-11-16,3,Mallorca,14360.0,3376.0,359.0,18056.0
40,2020-11-16,4,Menorca,530.0,152.0,14.0,696.0
40,2020-11-16,1,Eivissa,2722.0,490.0,26.0,3216.0
40,2020-11-16,2,Formentera,139.0,15.0,1.0,155.0
41,2020-11-17,1,Eivissa,2761.0,469.0,26.0,3233.0
41,2020-11-17,4,Menorca,546.0,139.0,14.0,698.0
41,2020-11-17,2,Formentera,140.0,14.0,1.0,155.0
41,2020-11-17,3,Mallorca,14601.0,3314.0,359.0,18235.0
41,2020-11-17,0,total-balears,18048.0,3936.0,400.0,22321.0
42,2020-11-18,0,total-balears,18265.0,3896.0,401.0,22499.0
42,2020-11-18,1,Eivissa,2792.0,460.0,26.0,3255.0
42,2020-11-18,2,Formentera,140.0,16.0,1.0,157.0
42,2020-11-18,3,Mallorca,14780.0,3281.0,360.0,18382.0
42,2020-11-18,4,Menorca,553.0,139.0,14.0,705.0
43,2020-11-19,4,Menorca,557.0,141.0,14.0,711.0
43,2020-11-19,0,total-balears,18462.0,3877.0,401.0,22677.0
43,2020-11-19,1,Eivissa,2823.0,462.0,26.0,3288.0
43,2020-11-19,2,Formentera,140.0,18.0,1.0,159.0
43,2020-11-19,3,Mallorca,14942.0,3256.0,360.0,18519.0
44,2020-11-20,4,Menorca,557.0,141.0,14.0,711.0
44,2020-11-20,0,total-balears,18462.0,3877.0,401.0,22677.0
44,2020-11-20,1,Eivissa,2823.0,462.0,26.0,3288.0
44,2020-11-20,2,Formentera,140.0,18.0,1.0,159.0
44,2020-11-20,3,Mallorca,14942.0,3256.0,360.0,18519.0
45,2020-11-21,3,Mallorca,14942.0,3256.0,360.0,18519.0
45,2020-11-21,1,Eivissa,2823.0,462.0,26.0,3288.0
45,2020-11-21,0,total-balears,18462.0,3877.0,401.0,22677.0
45,2020-11-21,4,Menorca,557.0,141.0,14.0,711.0
45,2020-11-21,2,Formentera,140.0,18.0,1.0,159.0
46,2020-11-22,4,Menorca,580.0,125.0,14.0,718.0
46,2020-11-22,0,total-balears,18983.0,3791.0,401.0,23112.0
46,2020-11-22,1,Eivissa,2880.0,439.0,26.0,3322.0
46,2020-11-22,2,Formentera,141.0,18.0,1.0,160.0
46,2020-11-22,3,Mallorca,15382.0,3209.0,360.0,18912.0
47,2020-11-23,1,Eivissa,2880.0,439.0,26.0,3322.0
47,2020-11-23,4,Menorca,580.0,125.0,14.0,718.0
47,2020-11-23,3,Mallorca,15382.0,3209.0,360.0,18912.0
47,2020-11-23,2,Formentera,141.0,18.0,1.0,160.0
47,2020-11-23,0,total-balears,18983.0,3791.0,401.0,23112.0
48,2020-11-24,1,Eivissa,2880.0,439.0,26.0,3322.0
48,2020-11-24,2,Formentera,141.0,18.0,1.0,160.0
48,2020-11-24,0,total-balears,18983.0,3791.0,401.0,23112.0
48,2020-11-24,4,Menorca,580.0,125.0,14.0,718.0
48,2020-11-24,3,Mallorca,15382.0,3209.0,360.0,18912.0
49,2020-11-25,3,Mallorca,15382.0,3209.0,360.0,18912.0
49,2020-11-25,1,Eivissa,2880.0,439.0,26.0,3322.0
49,2020-11-25,2,Formentera,141.0,18.0,1.0,160.0
49,2020-11-25,0,total-balears,18983.0,3791.0,401.0,23112.0
