,date,region_code,region,cases,recovered,active_cases,deceased
18,2020-10-25,07050,Sant Joan de Labritja,41.0,39.0,3.0,0.0
18,2020-10-25,07054,Santa Eulària des Riu,358.0,296.0,62.0,9.0
18,2020-10-25,0,total-eivissa,2462.0,2110.0,359.0,16.0
18,2020-10-25,07026,Eivissa,1252.0,1080.0,178.0,3.0
18,2020-10-25,07048,Sant Josep de sa Talaia,391.0,349.0,42.0,1.0
18,2020-10-25,07046,Sant Antoni de Portmany,420.0,346.0,74.0,3.0
19,2020-10-26,07048,Sant Josep de sa Talaia,391.0,349.0,42.0,1.0
19,2020-10-26,07054,Santa Eulària des Riu,358.0,296.0,62.0,9.0
19,2020-10-26,07046,Sant Antoni de Portmany,420.0,346.0,74.0,3.0
19,2020-10-26,07050,Sant Joan de Labritja,41.0,39.0,3.0,0.0
19,2020-10-26,07026,Eivissa,1252.0,1080.0,178.0,3.0
19,2020-10-26,0,total-eivissa,2462.0,2110.0,359.0,16.0
20,2020-10-27,07046,Sant Antoni de Portmany,438.0,359.0,79.0,3.0
20,2020-10-27,07026,Eivissa,1295.0,1100.0,200.0,3.0
20,2020-10-27,07054,Santa Eulària des Riu,380.0,302.0,78.0,9.0
20,2020-10-27,07048,Sant Josep de sa Talaia,399.0,352.0,47.0,1.0
20,2020-10-27,0,total-eivissa,2554.0,2152.0,408.0,16.0
20,2020-10-27,07050,Sant Joan de Labritja,42.0,39.0,4.0,0.0
21,2020-10-28,07048,Sant Josep de sa Talaia,402.0,353.0,49.0,1.0
21,2020-10-28,07026,Eivissa,1311.0,1107.0,210.0,3.0
21,2020-10-28,0,total-eivissa,2587.0,2164.0,430.0,16.0
21,2020-10-28,07050,Sant Joan de Labritja,42.0,39.0,4.0,0.0
21,2020-10-28,07046,Sant Antoni de Portmany,444.0,360.0,84.0,3.0
21,2020-10-28,07054,Santa Eulària des Riu,388.0,305.0,83.0,9.0
22,2020-10-29,07046,Sant Antoni de Portmany,444.0,360.0,84.0,3.0
22,2020-10-29,07054,Santa Eulària des Riu,388.0,305.0,83.0,9.0
22,2020-10-29,0,total-eivissa,2587.0,2164.0,430.0,16.0
22,2020-10-29,07050,Sant Joan de Labritja,42.0,39.0,4.0,0.0
22,2020-10-29,07048,Sant Josep de sa Talaia,402.0,353.0,49.0,1.0
22,2020-10-29,07026,Eivissa,1311.0,1107.0,210.0,3.0
23,2020-10-30,07050,Sant Joan de Labritja,42.0,39.0,4.0,0.0
23,2020-10-30,07046,Sant Antoni de Portmany,444.0,360.0,84.0,3.0
23,2020-10-30,07048,Sant Josep de sa Talaia,402.0,353.0,49.0,1.0
23,2020-10-30,07026,Eivissa,1311.0,1107.0,210.0,3.0
23,2020-10-30,07054,Santa Eulària des Riu,388.0,305.0,83.0,9.0
23,2020-10-30,0,total-eivissa,2587.0,2164.0,430.0,16.0
24,2020-10-31,07026,Eivissa,1311.0,1107.0,210.0,3.0
24,2020-10-31,07048,Sant Josep de sa Talaia,402.0,353.0,49.0,1.0
24,2020-10-31,07046,Sant Antoni de Portmany,444.0,360.0,84.0,3.0
24,2020-10-31,07054,Santa Eulària des Riu,388.0,305.0,83.0,9.0
24,2020-10-31,07050,Sant Joan de Labritja,42.0,39.0,4.0,0.0
24,2020-10-31,0,total-eivissa,2587.0,2164.0,430.0,16.0
25,2020-11-01,07048,Sant Josep de sa Talaia,415.0,362.0,53.0,1.0
25,2020-11-01,0,total-eivissa,2773.0,2256.0,523.0,17.0
25,2020-11-01,07054,Santa Eulària des Riu,419.0,324.0,94.0,10.0
25,2020-11-01,07046,Sant Antoni de Portmany,470.0,379.0,91.0,3.0
25,2020-11-01,07050,Sant Joan de Labritja,46.0,40.0,7.0,0.0
25,2020-11-01,07026,Eivissa,1423.0,1151.0,278.0,3.0
26,2020-11-02,0,total-eivissa,2812.0,2277.0,540.0,17.0
26,2020-11-02,07046,Sant Antoni de Portmany,476.0,386.0,90.0,3.0
26,2020-11-02,07026,Eivissa,1445.0,1158.0,292.0,3.0
26,2020-11-02,07050,Sant Joan de Labritja,46.0,40.0,7.0,0.0
26,2020-11-02,07054,Santa Eulària des Riu,428.0,329.0,98.0,10.0
26,2020-11-02,07048,Sant Josep de sa Talaia,417.0,364.0,53.0,1.0
27,2020-11-03,07048,Sant Josep de sa Talaia,420.0,368.0,52.0,1.0
27,2020-11-03,07026,Eivissa,1468.0,1174.0,299.0,3.0
27,2020-11-03,0,total-eivissa,2851.0,2312.0,544.0,17.0
27,2020-11-03,07050,Sant Joan de Labritja,47.0,41.0,7.0,0.0
27,2020-11-03,07054,Santa Eulària des Riu,433.0,333.0,99.0,10.0
27,2020-11-03,07046,Sant Antoni de Portmany,483.0,396.0,87.0,3.0
28,2020-11-04,07026,Eivissa,1508.0,1186.0,327.0,3.0
28,2020-11-04,0,total-eivissa,2915.0,2337.0,583.0,17.0
28,2020-11-04,07048,Sant Josep de sa Talaia,427.0,372.0,55.0,1.0
28,2020-11-04,07046,Sant Antoni de Portmany,493.0,399.0,94.0,3.0
28,2020-11-04,07054,Santa Eulària des Riu,440.0,338.0,101.0,10.0
28,2020-11-04,07050,Sant Joan de Labritja,47.0,42.0,6.0,0.0
29,2020-11-05,07048,Sant Josep de sa Talaia,433.0,376.0,57.0,1.0
29,2020-11-05,07050,Sant Joan de Labritja,48.0,42.0,7.0,0.0
29,2020-11-05,07046,Sant Antoni de Portmany,496.0,405.0,91.0,3.0
29,2020-11-05,0,total-eivissa,2944.0,2364.0,585.0,17.0
29,2020-11-05,07026,Eivissa,1520.0,1199.0,326.0,3.0
29,2020-11-05,07054,Santa Eulària des Riu,447.0,342.0,104.0,10.0
30,2020-11-06,07050,Sant Joan de Labritja,48.0,42.0,7.0,0.0
30,2020-11-06,0,total-eivissa,2944.0,2364.0,585.0,17.0
30,2020-11-06,07026,Eivissa,1520.0,1199.0,326.0,3.0
30,2020-11-06,07046,Sant Antoni de Portmany,496.0,405.0,91.0,3.0
30,2020-11-06,07048,Sant Josep de sa Talaia,433.0,376.0,57.0,1.0
30,2020-11-06,07054,Santa Eulària des Riu,447.0,342.0,104.0,10.0
31,2020-11-07,07026,Eivissa,1520.0,1199.0,326.0,3.0
31,2020-11-07,07048,Sant Josep de sa Talaia,433.0,376.0,57.0,1.0
31,2020-11-07,0,total-eivissa,2944.0,2364.0,585.0,17.0
31,2020-11-07,07054,Santa Eulària des Riu,447.0,342.0,104.0,10.0
31,2020-11-07,07046,Sant Antoni de Portmany,496.0,405.0,91.0,3.0
31,2020-11-07,07050,Sant Joan de Labritja,48.0,42.0,7.0,0.0
32,2020-11-08,07054,Santa Eulària des Riu,462.0,357.0,104.0,10.0
32,2020-11-08,07046,Sant Antoni de Portmany,502.0,417.0,85.0,3.0
32,2020-11-08,07026,Eivissa,1551.0,1238.0,318.0,3.0
32,2020-11-08,07050,Sant Joan de Labritja,49.0,42.0,8.0,0.0
32,2020-11-08,0,total-eivissa,3005.0,2437.0,573.0,17.0
32,2020-11-08,07048,Sant Josep de sa Talaia,441.0,383.0,58.0,1.0
33,2020-11-09,0,total-eivissa,3030.0,2466.0,569.0,17.0
