,date,region_code,region,cases,recovered,active_cases,deceased
22,2020-10-29,07023,Ferreries,3.0,1.0,2.0,0.0
22,2020-10-29,07052,Sant Lluís,31.0,24.0,6.0,1.0
22,2020-10-29,07002,Alaior,32.0,15.0,17.0,0.0
23,2020-10-30,07064,Es Castell,25.0,17.0,8.0,0.0
23,2020-10-30,07015,Ciutadella de Menorca,265.0,203.0,59.0,3.0
23,2020-10-30,0,total-menorca,552.0,400.0,139.0,14.0
23,2020-10-30,07037,Es Mercadal,28.0,23.0,1.0,4.0
23,2020-10-30,07032,Maó,166.0,115.0,46.0,6.0
23,2020-10-30,07002,Alaior,32.0,15.0,17.0,0.0
23,2020-10-30,07052,Sant Lluís,31.0,24.0,6.0,1.0
23,2020-10-30,07902,Es Migjorn Gran,2.0,2.0,0.0,0.0
23,2020-10-30,07023,Ferreries,3.0,1.0,2.0,0.0
24,2020-10-31,07023,Ferreries,3.0,1.0,2.0,0.0
24,2020-10-31,07015,Ciutadella de Menorca,265.0,203.0,59.0,3.0
24,2020-10-31,07902,Es Migjorn Gran,2.0,2.0,0.0,0.0
24,2020-10-31,07032,Maó,166.0,115.0,46.0,6.0
24,2020-10-31,07002,Alaior,32.0,15.0,17.0,0.0
24,2020-10-31,07064,Es Castell,25.0,17.0,8.0,0.0
24,2020-10-31,07037,Es Mercadal,28.0,23.0,1.0,4.0
24,2020-10-31,0,total-menorca,552.0,400.0,139.0,14.0
24,2020-10-31,07052,Sant Lluís,31.0,24.0,6.0,1.0
25,2020-11-01,07032,Maó,174.0,124.0,45.0,6.0
25,2020-11-01,07902,Es Migjorn Gran,2.0,2.0,0.0,0.0
25,2020-11-01,07037,Es Mercadal,28.0,23.0,1.0,4.0
25,2020-11-01,07023,Ferreries,3.0,1.0,2.0,0.0
25,2020-11-01,07052,Sant Lluís,32.0,27.0,4.0,1.0
25,2020-11-01,07015,Ciutadella de Menorca,273.0,212.0,58.0,3.0
25,2020-11-01,07002,Alaior,32.0,23.0,9.0,0.0
25,2020-11-01,0,total-menorca,569.0,430.0,126.0,14.0
25,2020-11-01,07064,Es Castell,25.0,18.0,7.0,0.0
26,2020-11-02,07064,Es Castell,26.0,18.0,8.0,0.0
26,2020-11-02,07037,Es Mercadal,28.0,24.0,0.0,4.0
26,2020-11-02,07023,Ferreries,3.0,2.0,1.0,0.0
26,2020-11-02,07002,Alaior,32.0,23.0,9.0,0.0
26,2020-11-02,07015,Ciutadella de Menorca,278.0,220.0,55.0,3.0
26,2020-11-02,07902,Es Migjorn Gran,2.0,2.0,0.0,0.0
26,2020-11-02,0,total-menorca,580.0,442.0,125.0,14.0
26,2020-11-02,07032,Maó,179.0,126.0,48.0,6.0
26,2020-11-02,07052,Sant Lluís,32.0,27.0,4.0,1.0
27,2020-11-03,07015,Ciutadella de Menorca,279.0,226.0,50.0,3.0
27,2020-11-03,07032,Maó,179.0,137.0,37.0,6.0
27,2020-11-03,07064,Es Castell,26.0,19.0,7.0,0.0
27,2020-11-03,07023,Ferreries,3.0,3.0,0.0,0.0
27,2020-11-03,07052,Sant Lluís,32.0,29.0,2.0,1.0
27,2020-11-03,07002,Alaior,33.0,26.0,7.0,0.0
27,2020-11-03,07902,Es Migjorn Gran,2.0,2.0,0.0,0.0
27,2020-11-03,07037,Es Mercadal,28.0,24.0,0.0,4.0
27,2020-11-03,0,total-menorca,582.0,466.0,103.0,14.0
28,2020-11-04,07064,Es Castell,28.0,19.0,9.0,0.0
28,2020-11-04,07052,Sant Lluís,35.0,29.0,5.0,1.0
28,2020-11-04,07015,Ciutadella de Menorca,283.0,233.0,47.0,3.0
28,2020-11-04,07023,Ferreries,4.0,3.0,1.0,0.0
28,2020-11-04,07902,Es Migjorn Gran,2.0,2.0,0.0,0.0
28,2020-11-04,07002,Alaior,35.0,27.0,8.0,0.0
28,2020-11-04,07037,Es Mercadal,28.0,24.0,0.0,4.0
28,2020-11-04,07032,Maó,180.0,144.0,31.0,6.0
28,2020-11-04,0,total-menorca,595.0,481.0,101.0,14.0
29,2020-11-05,07052,Sant Lluís,35.0,29.0,5.0,1.0
29,2020-11-05,07023,Ferreries,4.0,3.0,1.0,0.0
29,2020-11-05,0,total-menorca,604.0,484.0,107.0,14.0
29,2020-11-05,07015,Ciutadella de Menorca,285.0,234.0,48.0,3.0
