date,region_code,region,cases,recovered,active_cases,deceased,tp7d,hospitalized,intensivecare
2020-03-20,0,total-balears,291,0,0,0,0.18102824040550325,nan,nan
2020-03-21,1,Mallorca,293,0,0,0,0.19734789391575663,nan,nan
2020-03-21,2,Menorca,20,0,0,0,0.11564625850340136,nan,nan
2020-03-21,3,Eivissa,32,0,0,0,0.27927927927927926,nan,nan
2020-03-21,4,Formentera,0,0,0,0,0,nan,nan
2020-03-21,0,total-balears,367,0,0,0,0.18529411764705883,nan,nan
2020-03-22,1,Mallorca,358,0,0,0,0.2002643754130866,nan,nan
2020-03-22,2,Menorca,21,0,0,0,0.09195402298850575,nan,nan
2020-03-22,3,Eivissa,36,0,0,0,0.20245398773006135,nan,nan
2020-03-22,4,Formentera,0,0,0,0,0,nan,nan
2020-03-22,0,total-balears,441,0,0,0,0.18258287976249382,nan,nan
2020-03-23,1,Mallorca,434,0,0,0,0.2053775743707094,nan,nan
2020-03-23,2,Menorca,22,0,0,0,0.0855614973262032,nan,nan
2020-03-23,3,Eivissa,41,0,0,0,0.20958083832335328,nan,nan
2020-03-23,4,Formentera,0,0,0,0,0,nan,nan
2020-03-23,0,total-balears,526,0,0,0,0.1881100266193434,nan,nan
2020-03-24,1,Mallorca,513,0,0,0,0.21182519280205656,nan,nan
2020-03-24,2,Menorca,27,0,0,0,0.08450704225352113,nan,nan
2020-03-24,3,Eivissa,53,0,0,0,0.2175925925925926,nan,nan
2020-03-24,4,Formentera,0,0,0,0,0,nan,nan
2020-03-24,0,total-balears,627,0,0,0,0.19532488114104596,nan,nan
2020-03-25,1,Mallorca,607,0,0,0,0.21191756272401432,nan,nan
2020-03-25,2,Menorca,36,0,0,0,0.10416666666666667,nan,nan
2020-03-25,3,Eivissa,61,0,0,0,0.20930232558139536,nan,nan
2020-03-25,4,Formentera,0,0,0,0,0,nan,nan
2020-03-25,0,total-balears,739,0,0,0,0.19732205778717407,nan,nan
2020-03-26,1,Mallorca,688,0,0,0,0.21149042464612822,nan,nan
2020-03-26,2,Menorca,45,0,0,0,0.11578947368421053,nan,nan
2020-03-26,3,Eivissa,63,0,0,0,0.2037037037037037,nan,nan
2020-03-26,4,Formentera,0,0,0,0,0,nan,nan
2020-03-26,0,total-balears,834,0,0,0,0.19829284307288247,nan,nan
